127.0.0.1 - - [08/May/2022:08:52:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:43 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:43 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:43 +0530] "GET /LoginAplication/image/bulb.gif HTTP/1.1" 200 54011
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:43 +0530] "GET /LoginAplication/image/book.gif HTTP/1.1" 200 72727
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:43 +0530] "GET /LoginAplication/image/logo.jpg HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:45 +0530] "GET /LoginAplication/LogIn.html? HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:55 +0530] "POST /LoginAplication/log HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:55 +0530] "GET /LoginAplication/image/welcome2.gif HTTP/1.1" 200 25981
0:0:0:0:0:0:0:1 - - [08/May/2022:08:52:56 +0530] "GET /LoginAplication/StudentDashboard.html?submit.x=149&submit.y=56 HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [08/May/2022:08:53:12 +0530] "POST /LoginAplication/StudentCourse.html HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [08/May/2022:08:53:14 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [08/May/2022:08:53:14 +0530] "GET /LoginAplication/null HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [08/May/2022:08:56:18 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [08/May/2022:08:56:18 +0530] "GET /LoginAplication/image/physics.gif HTTP/1.1" 200 46412
0:0:0:0:0:0:0:1 - - [08/May/2022:08:56:31 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [08/May/2022:08:56:31 +0530] "GET /LoginAplication/image/computerScience.gif HTTP/1.1" 200 970480
0:0:0:0:0:0:0:1 - - [08/May/2022:08:56:38 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [08/May/2022:08:56:38 +0530] "GET /LoginAplication/null HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [08/May/2022:08:58:02 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [08/May/2022:08:58:09 +0530] "POST /LoginAplication/log HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/May/2022:08:58:10 +0530] "GET /LoginAplication/StudentDashboard.html?submit.x=154&submit.y=89 HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [08/May/2022:08:58:11 +0530] "POST /LoginAplication/StudentCourse.html HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [08/May/2022:08:58:14 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [08/May/2022:08:58:14 +0530] "GET /LoginAplication/image/math2.gif HTTP/1.1" 200 1732301
0:0:0:0:0:0:0:1 - - [08/May/2022:08:59:42 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [08/May/2022:08:59:45 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [08/May/2022:08:59:52 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [08/May/2022:09:00:17 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [08/May/2022:09:06:24 +0530] "POST /LoginAplication/log HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/May/2022:09:06:25 +0530] "GET /LoginAplication/StudentDashboard.html?submit.x=120&submit.y=70 HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [08/May/2022:09:06:26 +0530] "POST /LoginAplication/StudentCourse.html HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [08/May/2022:09:06:28 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [08/May/2022:09:06:28 +0530] "GET /LoginAplication/image/chem.gif HTTP/1.1" 200 1848083
0:0:0:0:0:0:0:1 - - [08/May/2022:09:06:47 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [08/May/2022:09:07:39 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [08/May/2022:09:07:44 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [08/May/2022:09:09:19 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [08/May/2022:09:11:19 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 722
