127.0.0.1 - - [14/Jul/2022:15:01:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:01:53 +0530] "GET /LoginAplication/welcome.html HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:01:53 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:01:53 +0530] "GET /LoginAplication/image/book.gif HTTP/1.1" 200 72727
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:01:53 +0530] "GET /LoginAplication/image/bulb.gif HTTP/1.1" 200 54011
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:01:53 +0530] "GET /LoginAplication/image/logo.jpg HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:01:53 +0530] "GET /LoginAplication/image/background.jpg HTTP/1.1" 200 6098444
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:01:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:04 +0530] "GET /LoginAplication/LogIn.html? HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:04 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:20 +0530] "POST /LoginAplication/log HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:20 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:20 +0530] "GET /LoginAplication/image/welcome2.gif HTTP/1.1" 200 25981
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:26 +0530] "GET /LoginAplication/StudentDashboard.html? HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:26 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:27 +0530] "POST /LoginAplication/StudentCourse.html HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:31 +0530] "POST /LoginAplication/SelectTopic HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:31 +0530] "GET /LoginAplication/image/computerScience.gif HTTP/1.1" 200 970480
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:33 +0530] "POST /LoginAplication/bookDashboard HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:33 +0530] "GET /LoginAplication/test.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:33 +0530] "GET /LoginAplication/image/software_engineering.jpg HTTP/1.1" 200 10842
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:33 +0530] "GET /LoginAplication/image/swwww.jpg HTTP/1.1" 200 70788
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:33 +0530] "GET /LoginAplication/image/clean2.jpg HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:33 +0530] "GET /LoginAplication/image/ppp.jpg HTTP/1.1" 200 6441
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:33 +0530] "GET /LoginAplication/image/soft.jpg HTTP/1.1" 200 41083
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:02:40 +0530] "POST /LoginAplication/BookDownload HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:03:05 +0530] "GET /LoginAplication/AdminLogin.html? HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [14/Jul/2022:15:03:05 +0530] "GET /LoginAplication/LogIn.css HTTP/1.1" 304 -
